,Sex
0,0
1,1
2,0
3,1
4,0
5,1
6,1
7,1
8,0
9,1
10,0
11,1
12,0
13,0
14,1
15,1
16,1
17,0
18,1
19,0
20,1
21,0
22,0
23,1
24,0
25,1
26,0
27,1
28,0
29,1
30,0
31,1
32,0
33,1
34,0
35,1
36,0
37,1
38,0
39,1
40,0
41,1
42,0
43,1
44,0
45,0
46,1
47,0
48,1
49,0
50,0
51,1
52,0
53,1
54,0
55,1
56,0
57,1
58,0
59,1
60,1
61,1
62,1
63,1
64,0
65,1
66,0
67,1
68,0
69,1
70,0
71,1
72,0
73,1
74,0
75,1
76,0
77,1
78,0
79,1
80,0
81,1
82,0
83,1
84,0
85,1
86,1
87,0
88,1
89,0
90,1
91,0
92,1
93,0
94,1
95,0
96,1
97,0
98,1
99,0
100,1
101,0
102,1
103,1
104,0
105,1
106,0
107,1
108,0
109,1
110,0
111,1
112,0
113,1
114,0
115,1
116,0
117,1
118,0
119,1
120,1
121,0
122,1
123,0
124,1
125,0
126,1
127,0
128,1
129,0
130,1
131,0
132,1
133,0
134,1
135,0
136,1
137,0
138,0
139,1
140,0
141,1
142,0
143,1
144,0
145,1
146,0
147,1
148,0
149,1
150,0
151,1
152,0
153,1
154,0
155,1
156,0
157,1
158,0
159,1
160,1
161,0
162,1
163,0
164,1
165,0
166,0
167,1
168,0
169,1
170,0
171,1
172,0
173,1
174,0
175,1
176,0
177,1
178,0
179,1
180,0
181,1
182,0
183,1
184,0
185,1
186,0
187,1
188,0
189,1
190,0
191,1
192,0
193,1
194,0
195,1
196,0
197,1
198,0
199,1
200,0
201,1
202,0
203,1
204,0
205,1
206,0
207,1
208,0
209,1
210,0
211,1
212,0
213,1
214,0
215,1
216,0
217,1
218,1
219,0
220,1
221,0
222,1
223,0
224,1
225,0
226,1
227,0
228,1
229,1
230,0
231,1
232,0
233,1
234,0
235,1
236,0
237,1
238,0
239,1
240,0
241,1
242,0
243,1
244,0
245,1
246,0
247,1
248,0
249,1
250,0
251,1
252,0
253,1
254,0
255,1
256,0
257,1
258,0
259,1
260,0
261,1
262,0
263,1
264,0
265,1
266,0
267,1
268,0
269,1
270,0
271,1
272,0
273,1
274,0
275,1
276,0
277,1
278,0
279,1
280,0
281,1
282,0
283,1
284,0
285,1
286,0
287,1
288,0
289,1
290,0
291,1
292,0
293,1
294,0
295,1
296,0
297,1
298,0
299,1
300,0
301,1
302,0
303,1
304,0
305,1
306,0
307,1
308,0
309,1
310,0
311,1
312,0
313,1
314,0
315,1
316,0
317,1
318,0
319,1
320,0
321,1
322,0
323,1
324,0
325,1
326,0
327,1
328,0
329,1
330,0
331,1
332,0
333,1
334,0
335,1
336,0
337,1
338,0
339,1
340,0
341,1
342,0
343,1
344,0
345,1
346,0
347,1
348,0
349,1
350,0
351,1
352,1
353,1
354,0
355,1
356,0
357,1
358,0
359,1
360,0
361,1
362,0
363,1
364,0
365,1
366,0
367,1
368,0
369,1
370,0
371,1
372,0
373,1
374,0
375,1
376,0
377,1
378,0
379,1
380,0
381,1
382,0
383,1
384,0
385,1
386,0
387,1
388,0
389,1
390,0
391,1
392,0
393,1
394,0
395,0
396,1
397,0
398,1
399,0
400,1
401,0
402,1
403,0
404,1
405,0
406,1
407,0
408,1
409,0
410,1
411,0
412,1
413,0
414,1
415,0
416,0
417,0
418,1
419,0
420,1
421,0
422,1
423,0
424,1
425,0
426,1
427,0
428,1
429,0
430,1
431,0
432,1
433,0
434,1
435,0
436,1
437,0
438,1
439,0
440,1
441,0
442,1
443,0
444,1
445,0
446,0
447,1
448,0
449,1
450,0
451,1
452,0
453,1
454,0
455,0
456,0
457,1
458,0
459,1
460,0
461,1
462,0
463,1
464,0
465,1
466,0
467,1
468,0
469,1
470,0
471,1
472,0
473,1
474,0
475,1
476,0
477,1
478,0
479,1
480,0
481,1
482,0
483,1
484,0
485,1
486,0
487,1
488,0
489,1
490,0
491,1
492,0
493,1
494,0
495,1
496,0
497,1
498,0
499,1
500,0
501,1
502,0
503,1
504,0
505,1
506,0
507,1
508,0
509,1
510,0
511,1
512,0
513,1
514,0
515,1
516,0
517,1
518,0
519,0
520,0
521,1
522,0
523,1
524,0
525,1
526,0
527,1
528,0
529,1
530,1
531,0
532,1
533,0
534,1
535,0
536,1
537,0
538,1
539,0
540,1
541,0
542,1
543,0
544,1
545,0
546,1
547,1
548,0
549,1
550,0
551,1
552,0
553,1
554,0
555,1
556,0
557,1
558,0
559,1
560,0
561,1
562,0
563,1
564,0
565,1
566,0
567,1
568,0
569,1
570,0
571,0
572,1
573,0
574,1
575,1
576,0
577,1
578,0
579,1
580,0
581,1
582,0
583,1
584,0
585,1
586,1
587,0
588,1
589,0
590,1
591,1
592,0
593,1
594,0
595,1
596,0
597,1
598,0
599,1
600,0
601,1
602,0
603,1
604,0
605,1
606,0
607,1
608,1
609,0
610,1
611,1
612,1
613,0
614,1
615,0
616,1
617,0
618,1
619,0
620,1
621,0
622,1
623,0
624,1
625,0
626,1
627,0
628,1
629,0
630,1
631,0
632,1
633,0
634,1
635,0
636,0
637,1
638,0
639,1
640,0
641,1
642,0
643,1
644,0
645,1
646,0
647,1
648,0
649,1
650,0
651,0
652,0
653,1
654,0
655,1
656,0
657,1
658,0
659,1
660,0
661,1
662,0
663,1
664,0
665,1
666,0
667,0
668,0
669,1
670,1
671,0
672,1
673,0
674,1
675,1
676,0
677,1
678,0
679,1
680,0
681,1
682,0
683,1
684,0
685,1
686,0
687,1
688,0
689,1
690,0
691,1
692,1
693,0
694,1
695,0
696,1
697,1
698,0
699,1
700,0
701,1
702,0
703,1
704,0
705,1
706,0
707,1
708,0
709,1
710,0
711,1
712,0
713,1
714,0
715,1
716,0
717,1
718,0
719,1
720,0
721,1
722,0
723,1
724,0
725,1
726,0
727,1
728,0
729,1
730,0
731,1
732,0
733,1
734,0
735,1
736,0
737,1
738,0
739,1
740,0
741,1
742,0
743,1
744,0
745,1
746,0
747,1
748,0
749,1
750,0
751,0
752,1
753,0
754,1
755,0
756,1
757,0
758,1
759,0
760,1
761,0
762,1
763,0
764,1
765,0
766,1
767,0
768,1
769,0
770,1
771,0
772,1
773,1
774,0
775,1
776,0
777,1
778,1
779,0
780,1
781,0
782,1
783,0
784,1
785,0
786,1
787,0
788,1
789,0
790,1
791,0
792,1
793,0
794,1
795,0
796,0
797,1
798,0
799,0
800,0
801,1
802,0
803,1
804,0
805,1
806,0
807,1
808,0
809,1
810,0
811,1
812,0
813,1
814,0
815,1
816,0
817,1
818,0
819,1
820,0
821,0
822,1
823,0
824,1
825,1
826,0
827,1
828,0
829,1
830,0
831,1
832,0
833,1
834,0
835,1
836,0
837,1
838,0
839,1
840,0
841,1
842,0
843,1
844,0
845,1
846,0
847,1
848,0
849,1
850,0
851,1
852,0
853,1
854,1
855,0
856,1
857,0
858,1
859,0
860,1
861,0
862,1
863,0
864,1
865,0
866,1
867,0
868,1
869,0
870,1
871,0
872,1
873,0
874,1
875,0
876,1
877,0
878,1
879,0
880,1
881,0
882,1
883,0
884,1
885,0
886,1
887,0
888,1
889,0
890,1
891,0
892,1
893,0
894,1
895,0
896,1
897,0
898,1
899,0
900,1
901,0
902,1
903,0
904,1
905,0
906,1
907,0
908,1
909,0
910,1
911,0
912,1
913,0
914,1
915,0
916,1
917,0
918,1
919,0
920,1
921,0
922,1
923,0
924,1
925,0
926,1
927,0
928,1
929,0
930,1
931,0
932,1
933,0
934,1
935,0
936,1
937,0
938,1
939,0
940,1
941,0
942,1
943,0
944,1
945,0
946,1
947,0
948,1
949,0
950,1
951,0
952,1
953,0
954,1
955,0
956,1
957,0
958,1
959,0
960,1
961,0
962,1
963,0
964,1
965,0
966,1
967,0
968,1
969,0
970,1
971,0
972,1
973,0
974,1
975,0
976,1
977,0
978,1
979,0
980,1
981,0
982,1
983,0
984,1
985,0
986,1
987,0
988,1
989,0
990,1
991,0
992,1
993,0
994,1
995,0
996,1
997,0
998,1
999,0
1000,1
1001,0
1002,1
1003,0
1004,1
1005,0
1006,1
1007,0
1008,1
1009,0
1010,1
1011,0
1012,1
1013,0
1014,1
1015,0
1016,1
1017,0
1018,1
1019,0
1020,1
1021,0
1022,1
1023,0
1024,1
1025,0
1026,1
1027,0
1028,1
1029,0
1030,1
1031,0
1032,1
1033,0
1034,1
1035,0
1036,1
1037,0
1038,1
1039,0
1040,1
1041,0
1042,1
1043,0
1044,1
1045,0
1046,1
1047,0
1048,1
1049,0
1050,1
1051,0
1052,1
1053,0
1054,1
1055,0
1056,1
1057,0
1058,1
1059,0
1060,1
